codeInseeCommune,codeInstallation,libelle,nbParkingHandi,gardien,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
31149,I311490003,Complexe sportif,4,Sans logement de gardien,0,1,0,0,0,0,0,09/10/2016,09/10/2016
31149,I311490008,Complexe sportif,1,Non,0,1,0,0,0,0,0,08/09/2016,08/09/2016
31149,I311490011,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,08/09/2016,08/09/2016
31149,I311490012,Complexe sportif,0,Non,0,1,0,0,0,0,0,16/10/2016,16/10/2016
31149,I311490013,Etablissement scolaire,1,Avec logement de gardien,0,1,0,0,0,0,0,08/09/2016,08/09/2016
31149,I311490014,Piscine,5,Non,0,1,0,0,0,0,0,09/09/2016,09/09/2016
31149,I311490018,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,08/09/2016,08/09/2016
31149,I311490033,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,07/09/2016,07/09/2016
31149,I311490036,Etablissement scolaire,,-,0,1,0,0,0,0,0,,
31149,I311490038,Complexe sportif,0,Non,0,0,0,0,0,1,0,,
31150,I311500002,Complexe sportif,2,Non,0,1,0,0,0,0,0,24/07/2015,24/07/2015
31157,I311570001,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,23/11/2016,23/11/2016
31157,I311570003,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,16/11/2016,16/11/2016
31157,I311570004,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,16/11/2016,16/11/2016
31157,I311570005,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,23/11/2016,23/11/2016
31157,I311570007,Complexe sportif,2,Non,0,1,0,0,0,0,0,17/11/2016,17/11/2016
31157,I311570011,Complexe sportif,5,Non,0,1,0,0,0,0,0,17/11/2016,17/11/2016
31157,I311570019,Etablissement scolaire,3,Sans logement de gardien,0,1,0,0,0,0,0,23/11/2016,23/11/2016
31160,I311600006,Etablissement scolaire,2,Sans logement de gardien,0,1,0,0,0,0,0,28/08/2019,28/08/2019
31163,I311630001,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,11/10/2019,11/10/2019
31163,I311630002,Complexe sportif,2,Non,0,0,0,0,0,0,1,05/11/2019,05/11/2019
31165,I311650002,Complexe sportif,3,Non,,,,,,,0,05/06/2015,05/06/2015
31167,I311670001,Complexe sportif,4,Non,,,,,,,0,15/10/2018,27/06/2013
31181,I311810005,Etablissement scolaire,1,Non,0,0,0,0,0,0,1,03/12/2019,28/11/2019
31182,I311820006,Complexe sportif,,Non,0,1,0,0,0,0,0,21/07/2015,21/07/2015
31182,I311820007,Complexe sportif,,Non,0,1,0,0,0,0,0,21/07/2015,21/07/2015
31186,I311860004,Complexe sportif,4,Non,0,1,0,0,0,0,0,26/06/2015,26/06/2015
31187,I311870001,Base de plein air et/ou de loisirs,4,Avec logement de gardien,,,,,,,0,24/07/2015,24/07/2015
31187,I311870003,Complexe sportif,0,Avec logement de gardien,,,,,,,0,24/07/2015,24/07/2015
31187,I311870004,Complexe sportif,,Non,0,1,0,0,0,0,0,24/07/2015,24/07/2015
31187,I311870005,Complexe sportif,20,Non,0,0,0,0,0,0,1,24/10/2019,24/10/2019
31187,I311870011,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,24/07/2015,24/07/2015
31187,I311870013,Complexe sportif,4,Sans logement de gardien,0,1,0,0,0,0,0,24/10/2019,24/10/2019
31193,I311930009,Etablissement scolaire,2,Avec logement de gardien,0,1,0,0,0,0,0,29/10/2019,02/12/2014
31202,I312020004,Complexe sportif,1,Non,0,0,0,0,0,0,1,29/07/2015,29/07/2015
31202,I312020011,Complexe sportif,0,Non,0,1,0,0,0,0,0,29/07/2015,29/07/2015
31203,I312030004,Complexe sportif,2,Non,0,1,0,0,0,0,0,22/09/2015,22/09/2015
31205,I312050001,Complexe sportif,2,Non,0,1,0,0,0,0,0,19/04/2017,19/04/2017
31210,I312100002,Complexe sportif,2,Non,0,1,0,0,0,0,0,03/12/2019,03/12/2019
31221,I312210001,Domaine de ski,0,Non,0,1,0,0,0,0,0,05/03/2019,05/03/2019
31221,I312210002,Piscine,0,Non,0,0,0,0,0,0,1,05/03/2019,05/03/2019
31224,I312240004,Etablissement scolaire,1,Avec logement de gardien,0,0,0,0,0,0,1,04/12/2019,04/12/2019
31230,I312300001,Complexe sportif,1,Non,0,1,0,0,0,0,0,26/06/2015,26/06/2015
31230,I312300003,Etablissement scolaire,2,Sans logement de gardien,0,1,0,0,0,0,0,26/06/2015,26/06/2015
31230,I312300005,Complexe sportif,10,Avec logement de gardien,0,1,0,0,0,0,0,,
31230,I312300006,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,02/07/2015,02/07/2015
31232,I312320002,Complexe sportif,,Non,0,1,0,0,0,0,0,24/07/2015,24/07/2015
31232,I312320003,Base de plein air et/ou de loisirs,0,Non,0,1,0,0,0,0,0,24/07/2015,24/07/2015
31239,I312390002,Complexe sportif,2,Non,0,0,0,0,0,0,1,07/11/2019,07/11/2019
31239,I312390004,Arodrome/aroport,,Non,0,0,0,0,0,0,1,15/10/2019,
31247,I312470006,Etablissement scolaire,,-,0,0,0,0,0,0,1,03/12/2019,03/12/2019
31248,I312480002,Etablissement scolaire,4,Avec logement de gardien,0,1,0,0,0,0,0,,
31248,I312480003,Complexe sportif,0,Non,0,1,0,0,0,0,0,22/09/2015,22/09/2015
31253,I312530001,Complexe sportif,0,Non,0,0,0,0,0,0,1,28/08/2019,28/08/2019
31254,I312540012,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31254,I312540013,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,27/02/2017,27/02/2017
31254,I312540015,Etablissement scolaire,,Sans logement de gardien,0,0,0,0,0,0,1,,
31263,I312630006,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,07/11/2019,07/11/2019
31271,I312710004,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,15/11/2019,15/11/2019
31273,I312730004,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31282,I312820001,Etablissement scolaire,,-,0,1,0,0,0,0,0,,
31282,I312820006,Complexe sportif,2,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31282,I312820007,Piscine,1,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31282,I312820012,Complexe sportif,2,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31284,I312840001,Complexe sportif,6,Non,0,0,0,0,0,0,1,18/10/2019,18/10/2019
31287,I312870002,Etablissement scolaire,,-,0,1,0,0,0,0,0,,
31291,I312910005,Complexe sportif,1,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31291,I312910007,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31291,I312910009,Etablissement scolaire,2,Avec logement de gardien,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31291,I312910011,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31293,I312930002,Complexe sportif,,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31293,I312930003,Complexe sportif,4,Avec logement de gardien,,,,,,,0,26/07/2017,26/07/2017
31297,I312970006,Etablissement scolaire,2,Sans logement de gardien,0,1,0,0,0,0,0,29/08/2019,
31298,I312980001,Complexe sportif,0,Non,,,,,,,0,21/11/2018,07/11/2018
31299,I312990004,Complexe sportif,2,Non,0,1,0,0,0,0,0,08/07/2015,08/07/2015
31311,I313110001,Complexe sportif,1,Non,0,0,0,0,0,0,1,21/11/2019,21/11/2019
31316,I313160002,Complexe sportif,0,Non,0,0,0,0,0,0,1,28/11/2019,28/11/2019
31324,I313240001,Complexe sportif,2,Non,0,0,0,0,0,0,1,04/12/2019,04/12/2019
31341,I313410010,Etablissement scolaire,,-,0,1,0,0,0,0,0,,
31345,I313450006,Etablissement scolaire,2,Non,0,0,0,0,0,0,1,21/11/2019,21/11/2019
31346,I313460001,Complexe sportif,2,Non,0,0,0,0,0,0,1,29/11/2019,29/11/2019
31356,I313560004,Base de plein air et/ou de loisirs,2,Non,0,0,0,0,0,0,1,18/11/2019,18/11/2019
31358,I313580003,Complexe sportif,0,Non,,,,,,,0,12/06/2015,12/06/2015
31358,I313580005,Etablissement scolaire,0,-,0,1,0,0,0,0,0,,
31364,I313640003,Etablissement scolaire,3,Non,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31375,I313750003,Complexe sportif,1,Non,0,1,0,0,0,0,0,19/06/2015,19/06/2015
31375,I313750004,Piscine,1,Non,0,1,0,0,0,0,0,12/06/2015,12/06/2015
31375,I313750005,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,19/06/2015,19/06/2015
31380,I313800002,Base de plein air et/ou de loisirs,6,Non,0,0,0,0,0,0,1,05/10/2018,02/07/2013
31385,I313850001,Piscine,1,Non,0,0,0,0,0,0,1,02/10/2018,15/04/2016
31388,I313880002,Base de plein air et/ou de loisirs,0,Non,0,0,0,0,0,0,1,28/11/2019,28/11/2019
31389,I313890007,Complexe sportif,1,Non,0,1,0,1,0,0,0,02/07/2015,02/07/2015
31390,I313900009,Base de plein air et/ou de loisirs,0,Non,,,,,,,0,05/06/2015,05/06/2015
31390,I313900010,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,05/06/2015,05/06/2015
31395,I313950002,Arodrome/aroport,2,Non,,,,,,,0,30/06/2016,30/06/2016
31395,I313950003,Complexe sportif,4,Sans logement de gardien,0,1,0,0,0,0,0,04/07/2016,04/07/2016
31395,I313950004,Complexe sportif,3,Non,0,0,0,0,0,0,1,30/06/2016,30/06/2016
31395,I313950005,Complexe sportif,6,Non,0,0,0,0,0,0,1,22/10/2019,22/10/2019
31395,I313950006,Complexe sportif,2,Sans logement de gardien,0,1,0,0,0,0,0,30/06/2016,30/06/2016
31395,I313950008,Complexe sportif,2,Non,0,1,0,0,0,0,0,30/06/2016,30/06/2016
31395,I313950009,Base de plein air et/ou de loisirs,2,Non,0,1,0,0,0,0,0,30/06/2016,30/06/2016
31395,I313950020,Base de plein air et/ou de loisirs,0,Non,,,,,,,0,30/06/2016,30/06/2016
31395,I313950027,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,30/06/2016,30/06/2016
31395,I313950030,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31395,I313950033,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31395,I313950034,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31395,I313950035,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31395,I313950036,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31395,I313950037,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31395,I313950039,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31396,I313960010,Base de plein air et/ou de loisirs,,Non,0,0,0,0,0,0,1,20/11/2018,
31399,I313990008,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31399,I313990010,Etablissement scolaire,3,Avec logement de gardien,0,1,0,0,0,0,0,,
31403,I314030001,Complexe sportif,0,Non,0,0,0,0,0,0,1,04/06/2018,13/11/2013
31406,I314060001,Arodrome/aroport,0,Non,0,0,0,0,0,0,1,06/11/2019,06/11/2019
31410,I314100001,Complexe sportif,6,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31410,I314100002,Etablissement scolaire,4,Non,0,1,0,0,0,0,0,,
31410,I314100003,Complexe sportif,6,Non,,,,,,,0,27/07/2015,27/07/2015
31410,I314100004,Etablissement scolaire,,-,0,1,0,0,0,0,0,,
31411,I314110001,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,22/10/2019,22/10/2019
31417,I314170002,Complexe sportif,0,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31417,I314170006,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31424,I314240006,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,17/11/2016,17/11/2016
31424,I314240013,Complexe sportif,0,Non,0,1,0,0,0,0,0,17/11/2016,17/11/2016
31424,I314240015,Complexe sportif,0,Non,0,1,0,0,0,0,0,23/11/2016,23/11/2016
31424,I314240019,Base de plein air et/ou de loisirs,0,Non,0,1,0,0,0,0,0,23/11/2016,23/11/2016
31429,I314290002,Complexe sportif,0,Non,0,0,0,0,0,0,1,24/10/2019,24/10/2019
31429,I314290003,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,23/10/2019,23/10/2019
31433,I314330008,Complexe sportif,,Non,0,1,0,0,0,0,0,26/06/2015,26/06/2015
31433,I314330013,Complexe sportif,4,Non,0,1,0,0,0,0,0,02/07/2015,02/07/2015
31435,I314350001,Complexe sportif,0,Non,0,0,0,0,0,0,1,24/10/2019,24/10/2019
31445,I314450001,Complexe sportif,,Non,0,0,0,0,0,0,1,28/07/2015,28/07/2015
31445,I314450009,Etablissement scolaire,,Non,0,1,0,0,0,0,0,04/02/2019,23/03/2017
31446,I314460004,Piscine,1,Non,1,0,0,0,0,0,0,08/09/2016,08/09/2016
31446,I314460007,Complexe sportif,10,Sans logement de gardien,0,1,0,0,0,0,0,07/09/2018,12/09/2016
31451,I314510003,Complexe sportif,0,Non,0,1,0,0,0,0,0,26/10/2015,26/10/2015
31451,I314510010,Arodrome/aroport,0,Non,,,,,,,0,26/10/2015,26/10/2015
31454,I314540003,Complexe sportif,2,Non,0,1,0,0,0,0,0,26/06/2015,26/06/2015
31455,I314550001,Piscine,0,Non,0,0,0,0,0,0,1,24/10/2019,24/10/2019
31458,I314580001,Complexe sportif,0,Sans logement de gardien,0,1,0,0,0,0,0,23/09/2015,23/09/2015
31458,I314580004,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,23/09/2015,23/09/2015
31460,I314600001,Complexe sportif,2,Non,0,1,0,0,0,0,0,23/09/2015,23/09/2015
31462,I314620001,Complexe sportif,0,Avec logement de gardien,0,1,0,0,0,0,0,22/11/2019,18/11/2019
31464,I314640003,Arodrome/aroport,0,Non,0,0,0,0,0,0,1,12/11/2018,
31467,I314670002,Complexe sportif,0,Sans logement de gardien,0,1,0,0,0,0,0,02/05/2019,28/07/2015
31467,I314670004,Complexe sportif,2,Non,0,1,0,0,0,0,0,02/05/2019,28/07/2015
31467,I314670005,Complexe sportif,4,Non,0,1,0,0,0,0,0,02/05/2019,28/07/2015
31467,I314670008,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,02/05/2019,
31467,I314670009,Etablissement scolaire,4,Non,,,,,,,0,02/05/2019,
31470,I314700001,Domaine de ski,0,Non,0,0,0,0,0,1,0,13/11/2018,19/10/2018
31471,I314710006,Piscine,0,Non,0,0,0,0,0,0,1,27/08/2019,27/08/2019
31483,I314830003,Complexe sportif,3,Avec logement de gardien,0,1,0,0,0,0,0,05/06/2015,05/06/2015
31483,I314830012,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,05/06/2015,05/06/2015
31483,I314830013,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,05/06/2015,05/06/2015
31483,I314830014,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,19/06/2015,19/06/2015
31483,I314830015,Etablissement scolaire,4,Non,0,1,0,0,0,0,0,05/06/2015,05/06/2015
31483,I314830016,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,05/06/2015,05/06/2015
31484,I314840001,Complexe sportif,1,Non,0,0,0,0,0,0,1,18/11/2019,18/11/2019
31484,I314840005,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,18/11/2019,18/11/2019
31486,I314860001,Complexe sportif,0,Non,0,1,0,0,0,0,0,07/11/2019,07/11/2019
31488,I314880003,Complexe sportif,0,Sans logement de gardien,0,1,0,0,0,0,0,18/06/2015,18/06/2015
31488,I314880004,Complexe sportif,1,Non,,,,,,,0,18/06/2015,18/06/2015
31488,I314880005,Complexe sportif,0,Non,0,1,0,0,0,0,0,18/06/2015,18/06/2015
31488,I314880006,Complexe sportif,1,Non,,,,,,,0,18/06/2015,18/06/2015
31490,I314900001,Complexe sportif,5,Non,0,0,0,0,0,0,1,28/07/2015,28/07/2015
31490,I314900002,Complexe sportif,,Non,0,0,0,0,0,0,1,28/07/2015,28/07/2015
31495,I314950005,Etablissement scolaire,1,Non,0,0,0,0,0,0,1,07/11/2019,07/11/2019
31497,I314970001,Complexe sportif,0,Non,0,0,0,0,0,0,1,22/11/2019,22/11/2019
31497,I314970004,Etablissement scolaire,1,Non,0,0,0,0,0,0,1,25/11/2019,25/11/2019
31499,I314990008,Piscine,1,Non,,,,,,,0,23/09/2015,23/09/2015
31500,I315000002,Complexe sportif,0,Avec logement de gardien,0,1,0,0,0,0,0,27/11/2018,22/11/2018
31501,I315010002,Base de plein air et/ou de loisirs,0,Non,0,1,0,0,0,0,0,08/11/2018,28/10/2013
31506,I315060010,Complexe sportif,2,Non,0,1,0,0,0,0,0,28/07/2015,28/07/2015
31506,I315060011,Complexe sportif,1,Non,0,1,0,0,0,0,0,28/07/2015,28/07/2015
31512,I315120002,Etablissement scolaire,3,Non,0,0,0,0,0,0,1,28/10/2019,28/10/2019
31512,I315120003,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,28/10/2019,28/10/2019
31517,I315170002,Complexe sportif,2,Non,0,0,0,0,0,0,1,08/11/2019,08/11/2019
31517,I315170005,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,24/10/2019,24/10/2019
31523,I315230001,Piscine,0,Non,0,0,0,0,0,0,1,04/12/2019,04/12/2019
31523,I315230004,Etablissement scolaire,0,Avec logement de gardien,0,0,0,0,0,0,1,05/12/2019,05/12/2019
31526,I315260008,Complexe sportif,1,Non,0,1,0,0,0,0,0,28/07/2015,28/07/2015
31533,I315330002,Complexe sportif,1,Non,0,0,0,0,0,0,1,21/11/2019,21/11/2019
31533,I315330003,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,21/11/2019,21/11/2019
31535,I315350001,Complexe sportif,0,Non,0,0,0,0,0,0,1,13/11/2018,11/11/2013
31541,I315410001,Complexe sportif,4,Non,0,1,0,0,0,0,0,27/07/2015,27/07/2015
31541,I315410004,Etablissement scolaire,,Avec logement de gardien,0,1,0,0,0,0,0,28/07/2015,28/07/2015
31547,I315470002,Complexe sportif,2,Non,0,1,0,0,0,0,0,23/09/2015,23/09/2015
31553,I315530001,Complexe sportif,0,Non,0,0,0,0,0,0,1,29/08/2019,13/11/2014
31555,I315550006,Etablissement scolaire,0,Avec logement de gardien,1,1,0,0,0,0,0,18/01/2017,18/01/2017
31555,I315550013,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,27/01/2013,27/01/2013
31555,I315550021,Etablissement scolaire,0,Non,1,1,0,0,0,0,0,,
31555,I315550022,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31555,I315550023,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31555,I315550024,Etablissement scolaire,0,Non,1,1,0,0,0,0,0,,
31555,I315550025,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31555,I315550026,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31555,I315550027,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
